"2020","POINT (-87.6178596758 41.8129489392)",298831,285589
"2022","POINT (-87.6525344838 41.8926581076)",297815,266819
"2021","POINT (-87.7215590627 41.968069)",297159,272246
"2020","POINT (-87.6424975271 41.7771962546)",296597,283432
"2024","POINT (-87.8773053996 41.9827750091)",294157,260869
"2023","POINT (-87.6517705068 41.9426918444)",293914,258540
"2020","POINT (-87.5949254391 41.7788768603)",293617,283139
"2023","POINT (-87.6186777673 41.8351179863)",293127,291062
"2021","POINT (-87.6219716519 41.8774061234)",291894,304215
"2024","POINT (-87.6517705068 41.9426918444)",291212,254205
"2022","POINT (-87.6291051864 41.9002212967)",290885,253811
"2020","POINT (-87.6665962653 41.7759288274)",290696,278540
"2019","POINT (-87.6186777673 41.8351179863)",290585,288596
"2020","POINT (-87.7509342894 41.785998518)",289322,301243
"2019","POINT (-87.6470785093 41.942577185)",289209,321819
"2020","POINT (-87.6357600901 41.9074919303)",289163,273861
"2022","POINT (-87.6429586652 41.8679024175)",288651,303307
"2022","POINT (-87.6241352979 41.8492467545)",288648,259405
"2020","POINT (-87.7112105933 41.9386661962)",287516,272676
"2021","POINT (-87.6221729369 41.8706073724)",286669,269102
"2020","POINT (-87.657005027 41.8790669938)",286468,252680
"2020","POINT (-87.6591665992 41.8090182499)",286421,285064
"2019","POINT (-87.6012851221 41.7904693995)",286335,311895
"2019","POINT (-87.671445766 41.9192250505)",285405,273702
"2021","POINT (-87.6129454143 41.8919715078)",284524,265532
"2019","POINT (-87.6487879519 41.8361501547)",284466,275068
"2021","POINT (-87.695666342 41.7718485152)",284412,266429
"2024","POINT (-87.6540070286 41.9147473049)",283176,258322
"2021","POINT (-87.6207628651 41.8983317935)",282526,300949
"2024","POINT (-87.6308650266 41.9058577688)",282241,240071
"2021","POINT (-87.6317173661 41.9146162864)",281266,278612
"2022","POINT (-87.6424975271 41.7771962546)",279790,268332
"2021","POINT (-87.6178596758 41.8129489392)",279405,267581
"2022","POINT (-87.6591665992 41.8090182499)",276348,273285
"2024","POINT (-87.7302324284 41.8785943576)",276009,261051
"2019","POINT (-87.6358909539 41.9292629902)",275623,270693
"2020","POINT (-87.6499072264 41.9049353016)",274749,269607
"2020","POINT (-87.6838349425 41.9477915865)",274373,269926
"2021","POINT (-87.5949254391 41.7788768603)",274175,267212
"2022","POINT (-87.6536139825 41.8983058696)",273755,266515
"2024","POINT (-87.6542980837 41.9462945357)",272141,284429
"2019","POINT (-87.6564115308 41.9362371791)",270469,266332
"2024","POINT (-87.6988607973 41.8173662079)",270413,252768
"2023","POINT (-87.6308650266 41.9058577688)",270231,234094
"2024","POINT (-87.6357397768 41.6738199043)",270190,260764
"2020","POINT (-87.7215590627 41.968069)",269959,251113
"2024","POINT (-87.6750856208 41.8704150003)",269413,315833
"2024","POINT (-87.6341560931 41.922082541)",269183,280554
"2024","POINT (-87.6487879519 41.8361501547)",269135,259336
"2022","POINT (-87.6012851221 41.7904693995)",267684,220793
